 angular_freq	sdprior	gsk	gck
   3.22876945E-02  0.999999940      0.999999642      0.951440036    
   6.45753890E-02  0.249999985      0.985001862      0.995329618    
   9.68630835E-02  0.111111104      0.723001778      0.230377167    
  0.129150778       6.24999963E-02  0.935491025      0.334931821    
  0.161438465       3.99999991E-02  0.843200624      0.185691327    
  0.193726152       2.77777798E-02  0.942629576      0.166029587    
  0.226013869       2.04081628E-02  0.306822926      0.345241845    
  0.258301556       1.56249991E-02  0.353036165      0.129752696    
  0.290589243       1.23456782E-02  0.123928465      0.222015277    
  0.322876930       9.99999978E-03   3.03198732E-02  0.368547678    
  0.355164617       8.26446433E-03  0.103635922      0.301152676    
  0.387452334       6.94444403E-03   2.61341650E-02  0.278577954    
  0.419740021       5.91715937E-03  0.111541897       1.68246068E-02
  0.452027708       5.10204071E-03   1.92940757E-02   8.00869465E-02
  0.484315425       4.44444409E-03   3.09415208E-03  0.502702236    
  0.516603112       3.90624977E-03   1.14763612E-02   3.74644138E-02
  0.548890829       3.46020749E-03   4.74088918E-03   2.88708415E-02
  0.581178546       3.08641908E-03   2.06158403E-02   7.27126226E-02
  0.613466203       2.77008303E-03  0.106369838      0.127375826    
  0.645753920       2.49999994E-03   3.44887711E-02  0.176684931    
  0.678041577       2.26757349E-03   1.41115917E-03   3.76845384E-03
  0.710329294       2.06611562E-03   8.14021155E-02   2.39673704E-02
  0.742617011       1.89035886E-03   2.43789535E-02   3.48601490E-02
  0.774904668       1.73611101E-03  0.135684967      0.227247119    
  0.807192385       1.59999996E-03  0.130757570       1.32613825E-02
  0.839480102       1.47928961E-03   1.45713449E-03   1.18951546E-02
  0.871767759       1.37174199E-03   3.14908028E-02   1.83504224E-02
  0.904055476       1.27551018E-03   7.11923791E-03   2.06483924E-03
  0.936343193       1.18906039E-03  0.214874566       3.11503690E-02
  0.968630850       1.11111102E-03   3.23579158E-03   8.91593006E-03
   1.00091851       1.04058266E-03   8.18320317E-04   6.81572128E-03
   1.03320622       9.76562442E-04   1.61287456E-03   1.18339667E-02
   1.06549394       9.18273581E-04   1.65124200E-02   1.24072591E-02
   1.09778166       8.65051872E-04   3.94679187E-03   6.40390953E-03
   1.13006938       8.16326297E-04   1.18838146E-03   5.17074801E-02
   1.16235697       7.71604886E-04   3.39635126E-02   2.06429069E-03
   1.19464469       7.30460160E-04   8.64440948E-03   2.51489901E-03
   1.22693241       6.92520756E-04   2.79646609E-02   2.41667330E-02
